id	type	question	expected_answer	annotation
knn+distance-082	knn+distance	Khoảng cách đến nhà nghỉ gần nhất từ Nhà hàng Yumi là bao nhiêu?	Nhà a Thận HN	
knn+distance-015	knn+distance	Cách Bưu điện Bình Châu bao xa thì có siêu thị gần nhất?	Mini Mart	
knn+distance-004	knn+distance	sân vận động gần Hoa Việt Hotel nhất cách Hoa Việt Hotel bao nhiêu km?	sân vận động xã Tân Thanh (điểm tại xã kháng nhật cũ)	
knn+distance-095	knn+distance	Từ vị trí chùa Nam Trường đến trường đại học gần nhất là bao xa?	VIỆN HÀN LÂM KHOA HỌC VÀ CÔNG NGHỆ VN	
knn+distance-036	knn+distance	Khoảng cách đến sân vận động gần phi nga nhất là bao nhiêu?	Nhà Thi Đấu ĐH Bách Khoa Tp.HCM	
knn+distance-032	knn+distance	tiệm bánh gần nhất với Ngọc Sương cách bao xa?	Hùng Hà	
knn+distance-029	knn+distance	Cho biết khoảng cách từ Sacombank đến bể bơi gần nhất.	Catba Papillon Garden Bungalows & Resort	
knn+distance-018	knn+distance	Cách CaPhe Fantasy bao xa thì có sân vận động gần nhất?	Sân vận động Cẩm Lệ	
knn+distance-014	knn+distance	quán cà phê gần Ngã Ba Phú Tài nhất cách Ngã Ba Phú Tài bao nhiêu km?	Olympic	
knn+distance-087	knn+distance	Từ Nội thất Vietmay Depot đến điểm tham quan gần nhất là bao xa?	Song Ngu Farm	
knn+loc-095	knn+loc	Bạn có thể cho tôi biết siêu thị gần Trường phổ thông Kiên Lương nhất ở đâu không?	Chợ Ba Chúc	
knn+loc-070	knn+loc	Vị trí của siêu thị gần Bưu điện Huyện Long Điền nhất như thế nào?	Go!	
knn+loc-012	knn+loc	nhà nghỉ gần Trường tiểu học Lý Thường Kiệt nhất nằm tại địa chỉ nào?	O.M.E hostel	
knn+loc-076	knn+loc	Bạn có biết bể bơi gần Thanh binh nhất ở đâu không?	Hồ Bơi Phù Đổng	
knn+loc-055	knn+loc	siêu thị gần Hủ Tiếu Nam Vang nhất nằm tại địa chỉ nào?	Siêu thị laptop Á Châu	
knn+loc-005	knn+loc	nhà hàng gần Pizza Thao Nguyen nhất nằm tại địa chỉ nào?	Buffet korea	
knn+loc-004	knn+loc	Cho tôi biết vị trí của tiệm bánh gần Nghĩa Hằng nhất.	Thu Anh Bakery Như Quỳnh	
